sheet_name,scale,description,la,lo,date,timestamp
Поранені цивільні,1.0,"По Миколаєву випущено 9 ракет типу С-300, поранена одна людина.",46.959077,32.011807,2022-7-14,1657756800000
Поранені цивільні,2.0,Через обстріли с. Новоселівка поранено 2 людини.,46.999938,32.395752,2022-7-13,1657670400000
Поранені цивільні,2.0,Через обстріли у Широківській громаді отримали поранення 2 людини.,47.123866,32.621648,2022-7-15,1657843200000
Поранені цивільні,3.0,У с. Шевченкове внаслідок обстрілів поранені три людини. ,46.86215,32.196443,2022-7-16,1657929600000
Поранені цивільні,2.0,Окупанти обстріляли касетними снарядами Корабельний район Миколаєва - поранень зазнали двоє цивільних.,46.870032,32.025611,2022-7-18,1658102400000
Поранені цивільні,2.0,В смт Березнегувате після ракетного обстрілу з-під завалів врятовано дві людини.,47.307953,32.846669,2022-7-20,1658275200000
Поранені цивільні,1.0,"Окупанти випустили по Миколаєву сім ракет С-300, одна людина постраждала. ",46.959077,32.01181,2022-7-21,1658361600000
Поранені цивільні,5.0,"По Миколаєву було випущено чотири крилатих ракети типу «Калібр». Відомо про п‘ятьох поранених, серед них підліток. ",46.959077,32.011811,2022-7-23,1658534400000
Поранені цивільні,1.0,Через обстріл с. Мішково-Погорілове зазнала поранень 7-річна дитина.,46.995222,32.112717,2022-7-25,1658707200000
Поранені цивільні,3.0,У Миколаєві через ворожий обстріл отримали поранення троє осіб.,46.959077,32.011812,2022-7-28,1658966400000
Поранені цивільні,12.0,"Ворожі касетні снаряди влучили у зупинку громадського транспорту в Корабельному районі Миколаєва, поранено 12 цивільних.",46.959077,32.011812,2022-7-29,1659052800000
Поранені цивільні,6.0,"У Миколаєві обстріляний один зі спальних районів міста, шість людей поранено.",46.959077,32.011812,2022-7-30,1659139200000
Поранені цивільні,2.0,Внаслідок масованих обстрілів Миколаєва поранено дві людини,46.959077,32.011812,2022-7-31,1659225600000
Житлові будинки,,"В с. Білозірка пошкоджено будинок, загинула одна людина.",47.090263,32.448873,2022-7-1,1656633600000
Житлові будинки,,В селищі Засілля зруйновано житловий будинок та господарське підсобне приміщення.,47.023995,32.427847,2022-7-2,1656720000000
Житлові будинки,,В смт Первомайське пошкоджено недобудовану 4-поверхівку. ,47.041483,32.43914,2022-7-2,1656720000000
Житлові будинки,,Внаслідок обстрілів в смт Первомайське виникло загоряння житлового будинку та гаражів.,47.041483,32.439141,2022-7-3,1656806400000
Житлові будинки,,"В с. Дніпровське внаслідок ворожого обстрілу зруйновано два житлових будинки, інші будинки й будівлі зазнали пошкоджень.",46.63574,31.873512,2022-7-3,1656806400000
Житлові будинки,,"Обстрілів зазнала Широківська громада. Зруйновано житловий будинок, потерпілих немає.",47.123866,32.621648,2022-7-4,1656892800000
Житлові будинки,,Внаслідок обстрілів с. Лимани зруйновано житловий будинок. ,46.72796,31.97235,2022-7-4,1656892800000
Житлові будинки,,"У Широківській громаді пошкоджено один житловий будинок, зруйновано ще один житловий будинок.",47.123866,32.621648,2022-7-5,1656979200000
Житлові будинки,,Через обстріли с. Новомиколаївка пошкоджено житлові будинки.,46.966356,32.359167,2022-7-6,1657065600000
Житлові будинки,,Через обстріли смт Березнегувате є руйнування житлових будинків.,47.307953,32.846669,2022-7-8,1657238400000
Житлові будинки,,"Внаслідок ворожих обстрілів у Галицинівській громаді, у СВТ «Бірюза» відбулась пожежа дачного будинку.",46.80328,31.954482,2022-7-7,1657152000000
Житлові будинки,,Внаслідок обстрілів с. Новомиколаївка частково пошкоджено житлові будинки.,46.966356,32.359167,2022-7-8,1657238400000
Житлові будинки,,У Широківській громаді влучання по житловим будинкам та відкритих територіяч домогосподарств.,47.123866,32.621648,2022-7-10,1657411200000
Житлові будинки,,Під час масованого ракетного обстрілу Миколаєва були влучання у житлові будинки.,46.959077,32.011807,2022-7-12,1657584000000
Житлові будинки,,Внаслідок обстрілів смт Первомайське зазнав пошкоджень житловий будинок.,47.04128,32.438662,2022-7-11,1657497600000
Житлові будинки,,В смт Березнегувате було влучання по житлових будинках.,47.307953,32.846669,2022-7-13,1657670400000
Житлові будинки,,В с. Зоря пошкоджено житлові будинки.,46.896352,32.288157,2022-7-12,1657584000000
Житлові будинки,,Нічний обстріл Баштанки зруйнував житлові будинки.,47.40372,32.438221,2022-7-14,1657756800000
Житлові будинки,,Обстріли с. Лимани пошкодили житлові будинки.,46.72796,31.97235,2022-7-15,1657843200000
Житлові будинки,,Періодичні обстріли у Широківській громаді зруйнували один житловий будинок і пошкодили три.,47.123866,32.621648,2022-7-15,1657843200000
Житлові будинки,,Через обстріли с. Олександрівка у 6 приватних будинках частково пошкоджені покрівлі та вікна.,47.55982,32.973923,2022-7-15,1657843200000
Житлові будинки,,У с. Шевченкове внаслідок обстрілів зруйновані житлові будинки.,46.86215,32.196443,2022-7-16,1657929600000
Житлові будинки,,Лимани зазнали масованого обстрілу: пошкоджено житлові будинки.,46.72796,31.97235,2022-7-16,1657929600000
Житлові будинки,,Через обстріли у Широківській громаді зруйновано житловий будинок.,47.123866,32.621648,2022-7-16,1657929600000
Житлові будинки,,Окупанти обстріляли касетними снарядами Корабельний район Миколаєва – пошкоджено вікна і дах у приватних будинках. ,46.870032,32.025611,2022-7-18,1658102400000
Житлові будинки,,Через обстріл у Шевченківській громаді відбулося руйнування житлових будинків.,46.844318,32.243351,2022-7-19,1658188800000
Житлові будинки,,В с. Лимани відбулось загоряння житлових та дачних будинків.,46.72796,31.97235,2022-7-19,1658188800000
Житлові будинки,,В Широківській громаді зруйновані та пошкоджені сім житлових будинків.,47.123866,32.621648,2022-7-19,1658188800000
